Dish,Calories (kcal),Carbohydrates,Protein,Fat,Free Sugar (g),Fibre (g),Sodium,Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,39.32,466.48,2.12,0.0,23.85
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,13.02,160.71,1.47,0.0,32.38
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,18.55,631.82,8.94,0.0,18.17
Khoa ladoo,396.02,34.43,12.21,24.09,33.37,3.08,31.71,358.61,2.25,0.02,27.31
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,36.72,12.88,15.88,10.41,13.16,321.07,73.55,5.44,0.15,10.69
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57,1.45,7.79,166.36,64.75,2.68,2.05,24.35
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.7,19.92,5.11,7.51,144.58,6.47,0.03,9.52
Chhena poda,344.57,33.64,13.68,17.94,30.65,1.4,13.0,295.29,1.41,0.09,42.67
Milk cookies,459.43,48.43,10.49,24.96,22.06,0.99,156.53,251.59,0.75,2.03,19.54
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,2.9,6.04,61.36,36.44,3.38,1.48,14.32
